NAME,POSITION,TEAM,SALARY
Victor Oladipo, SG,Oklahoma City Thunder,"$6,552,961.00 "
Jodie Meeks, SG,Orlando Magic,"$6,540,000.00 "
Jeremy Lamb, SG,Charlotte Hornets,"$6,511,628.00 "
Carl Landry, PF,Philadelphia 76ers,"$6,500,000.00 "
Aron Baynes, C,Detroit Pistons,"$6,500,000.00 "
Tim Duncan, C,San Antonio Spurs,"$6,393,750.00 "
Spencer Hawes, PF,Charlotte Hornets,"$6,348,759.00 "
Marco Belinelli, SG,Charlotte Hornets,"$6,333,333.00 "
Jae Crowder, SF,Boston Celtics,"$6,286,408.00 "
Lance Thomas, SF,New York Knicks,"$6,191,000.00 "
Tarik Black, C,Los Angeles Lakers,"$6,191,000.00 "
Andrew Nicholson, PF,Washington Wizards,"$6,088,993.00 "
Patrick Patterson, PF,Toronto Raptors,"$6,050,000.00 "
Andrew Wiggins, SG,Minnesota Timberwolves,"$6,006,600.00 "
Ramon Sessions, PG,Charlotte Hornets,"$6,000,000.00 "
Wayne Ellington, SG,Miami Heat,"$6,000,000.00 "
Ish Smith, PG,Detroit Pistons,"$6,000,000.00 "
Alex Abrines, SG,Oklahoma City Thunder,"$5,994,764.00 "
Karl-Anthony Towns, C,Minnesota Timberwolves,"$5,960,160.00 "
Ben Simmons, F,Philadelphia 76ers,"$5,903,160.00 "
Otto Porter Jr., SF,Washington Wizards,"$5,893,981.00 "
Shaun Livingston, PG,Golden State Warriors,"$5,782,450.00 "
Josh McRoberts, PF,Miami Heat,"$5,782,450.00 "
Nikola Mirotic, PF,Chicago Bulls,"$5,782,450.00 "
Brandan Wright, PF,Memphis Grizzlies,"$5,709,880.00 "
Tyler Johnson, SG,Miami Heat,"$5,628,000.00 "
Jared Sullinger, C,Toronto Raptors,"$5,628,000.00 "
Wesley Johnson, SF,LA Clippers,"$5,628,000.00 "
Tony Allen, SG,Memphis Grizzlies,"$5,505,618.00 "
Luis Scola, PF,Brooklyn Nets,"$5,500,000.00 "
Nick Young, SG,Los Angeles Lakers,"$5,443,918.00 "
Jabari Parker, PF,Milwaukee Bucks,"$5,374,320.00 "
D'Angelo Russell, PG,Los Angeles Lakers,"$5,332,800.00 "
Cody Zeller, C,Charlotte Hornets,"$5,318,313.00 "
PJ Tucker, SF,Toronto Raptors,"$5,300,000.00 "
Brandon Ingram, F,Los Angeles Lakers,"$5,281,680.00 "
Kyle Korver, SG,Cleveland Cavaliers,"$5,239,437.00 "
Darren Collison, PG,Sacramento Kings,"$5,229,454.00 "
Langston Galloway, SG,Sacramento Kings,"$5,200,000.00 "
Brandon Jennings, PG,Washington Wizards,"$5,000,000.00 "
Jason Smith, PF,Washington Wizards,"$5,000,000.00 "
Jonas Jerebko, PF,Boston Celtics,"$5,000,000.00 "
Roy Hibbert, C,Charlotte Hornets,"$5,000,000.00 "
Kyle Singler, SF,Oklahoma City Thunder,"$4,837,500.00 "
Mike Dunleavy, SG,Cleveland Cavaliers,"$4,837,500.00 "
Joel Embiid, C,Philadelphia 76ers,"$4,826,160.00 "
Alex Len, C,Phoenix Suns,"$4,823,621.00 "
Jahlil Okafor, C,Philadelphia 76ers,"$4,788,840.00 "
Jaylen Brown, F,Boston Celtics,"$4,743,000.00 "
Alexis Ajinca, C,New Orleans Pelicans,"$4,638,203.00 "
Marcus Morris, PF,Detroit Pistons,"$4,625,000.00 "
CJ Miles, SF,Indiana Pacers,"$4,583,450.00 "
Jameer Nelson, PG,Denver Nuggets,"$4,540,525.00 "
Nerlens Noel, PF,Philadelphia 76ers,"$4,384,490.00 "
Aaron Gordon, PF,Orlando Magic,"$4,351,320.00 "
Greivis Vasquez, PG,Brooklyn Nets,"$4,347,826.00 "
Kristaps Porzingis, PF,New York Knicks,"$4,317,720.00 "
Dragan Bender, PF,Phoenix Suns,"$4,276,320.00 "
